No,Name,Normal Price,Discounted Price,Specifications,URL
1,Makerbot Replicator Z18 - Large 3D Printer,"$6,499 USD",,"Manufacturer Warranty: 6 Months
-----
Print size ( X Y Z ): 300 x 305 x 457 mm
Layer Resolution: 100 microns
Print Precision (Layer Thickness) : 0.1 mm
Filament Diameter: 1.75 mm
Nozzle Diameter: 0.4 mm
Filament Compatibility  : PLA
-----
Chassis: Powder-coated steel with pc-abs and aluminum composite material
No.of Extruders: One
Print Plate (Build Platform): Injection Molded Acrylic
-----
3D Printing Software: Makerbot desktop software
Supported File Formats: .makerbot
Operating System: Windows/MAC/Linux
-----
Power Requirements: 100-240 V; 5.4-2.2 A;
50/60 HZ; 350 W
-----
Connectivity (Interface): USB, Ethernet, WI-FI
-----
Machine weight: 41 Kg
Shipping box weight: 52 Kg
Machine Dimensions: 493 x 565 x 861 mm
Shipping box dimensions: 650 x 719 x 1060 mm
Shipping Location: USA
Lead Time (Processing/Handling Time): 3 Business days",https://www.3dprintersonlinestore.com/3d-printers/makerbot-replicator-z18
2,Rokit Stealth 300 3D Printer,"$6,000 USD",,"Item Condition: New 
-----
Print size ( X Y Z ): 290*180*260mm
Print Speed: 200 mm/sec
Layer Resolution: 25 microns
Nozzle Diameter: 0.4 mm
Filament Compatibility  : PLA, Nylon, Flexible, HIPS, PVA, Wood, Stone
-----
No.of Extruders: One
-----
3D Printing Software: Creator K
Supported File Formats: STL, Gcode, OBJ
Operating System: Windows/Mac/
-----
Power Requirements: 24v, 50A
-----
Shipping Location: korea",https://www.3dprintersonlinestore.com/3d-printers/rokit-stealth-300
3,Cheetah 3d printer,"$8,150 USD",,"Manufacturer Warranty:  1 year
-----
Print size ( X Y Z ): 1000 x 1000 x 1000 mm
Print Speed: 30 mm/sec
Layer Resolution: 500 Microns
Print Precision (Layer Thickness) : 0.5 mm
Filament Diameter: Granuals
Nozzle Diameter: 3 mm
Filament Compatibility  : Granuals
Print in dual color: No
Print in multi color: No
-----
No.of Extruders: one
-----
3D Printing Software: Slicer, Cura
Supported File Formats:  STL
Operating System: Windows
-----
AC Input: 220V
Power Requirements: 220V 10 Amp
Connectivity (Interface): USB
-----
Electronics (Motherboard): Speedy
-----
Machine weight: 45 Kg
Shipping box weight: 50 Kg
Machine Dimensions: 2200 x 1500 x 2500 mm
Shipping box dimensions:  1200 x 2200 x 500 mm
Shipping Location: South Africa
Lead Time (Processing/Handling Time):  4 weeks",https://www.3dprintersonlinestore.com/3d-printers/cheetah-3d-printer
4,Sharebot XXL Desktop 3D Printer with Large Printing Area,"$4,800 USD",,"Print size ( X Y Z ): 750 x 250 x 200 mm
Layer Resolution: 100 microns
Print Precision (Layer Thickness) : 0.1 mm
Filament Diameter: 1.75 mm
Filament Compatibility  : PLA
-----
Supported File Formats: STL
-----
Shipping Location: Italy
Lead Time (Processing/Handling Time): 12 days",https://www.3dprintersonlinestore.com/3d-printers/sharebot-xxl-desktop-3d-printer
5,ATSMake SLA 3D Printer | Jewelry and Dental Prototype Maker,"$2,750 USD",,"Manufacturer Warranty: 12 Months
-----
Laser scanning speed: 600mm/s
-----
Print size ( X Y Z ): 125 x 125 x 180 mm
Print Speed: 600mm/s(high-resolution mode) 6000mm/s(Max Speed Mode)
Layer Resolution: DPI 4096X4096X6000
Print Precision (Layer Thickness) : 0.03mm
-----
3D Printing Software: ATSMAKE
Supported File Formats: STL
Operating System: Windows
-----
Power Requirements: 100-240V 1.5A 50/60Hz 160W
Connectivity (Interface): USB
-----
Machine weight: 15 Kg
Shipping box weight: 21 Kg
Machine Dimensions: 380*380*550mm
Shipping box dimensions: 650*450*420mm
Shipping Location: China
Lead Time (Processing/Handling Time): 3 to 4 days",https://www.3dprintersonlinestore.com/3d-printers/jewelry-3d-printer%20
6,3Dison AEP 3D Printer,"$12,000 USD",,"Item Condition: New 
-----
Print size ( X Y Z ): 260*200*245mm
Print Speed: 200 mm/sec
Layer Resolution: 25 microns
Nozzle Diameter: 0.4 mm
Filament Compatibility  : PLA, Nylon, Flexible, HIPS, PVA, Wood, Stone
-----
No.of Extruders: One
-----
3D Printing Software: Creator K
Supported File Formats: STL, Gcode, OBJ
Operating System: Windows/Mac/
-----
Power Requirements: 24v, 50A
-----
Shipping Location: korea",https://www.3dprintersonlinestore.com/3d-printers/3dison-aep-3d-printer
7,J Group Robotics Dimension Dual Delta XL 3D System,"$9,500 USD",,"Manufacturer Warranty: One year - Limited Warranty
-----
Print size ( X Y Z ): 420 x 720 x 420 mm
Print Speed: 50 to 100 mm/sec
Layer Resolution: 50 to 250 microns
Print Precision (Layer Thickness) : 0.05mm to 0.2mm
Filament Diameter: 1.75mm
Nozzle Diameter: 0.5mm - 0.3mm all metal
Filament Compatibility  : PLA,ABS,NYLON,PVA,PP,TGLASE,WOOD,STONE,CARBON FIBER & MORE
Print Plate Size: 420mm x 420mm.
Print in dual color: YES
Print in multi color: NO
-----
Chassis: Aluminium 
No.of Extruders: Two
Print Plate (Build Platform): Heated bed Glass
-----
3D Printing Software: Printware 
Supported File Formats: STL,OBJ
Operating System: Windows/MAC/Linux
-----
AC Input: 100-240 Volts , 50-60 Hz
Power Requirements: 24 volts , 14.5 Amp
Connectivity (Interface): USB, SD card Supported 
-----
Electronics (Motherboard): Arduino 2560 sheild with LCD & SD Card Holder
-----
Machine weight: 16kg
Shipping box weight: 40 kg
Machine Dimensions: 650 mm x 480 mm x 850mm
Shipping box dimensions: 700 mm x 580 mm x 570 mm
Shipping Location: India
Lead Time (Processing/Handling Time): 1 week",https://www.3dprintersonlinestore.com/3d-printers/dimension-dual-delta-xl-3d-system
8,3Dison H700 Professional 3D Printer,"$8,500 USD",,"Item Condition: New 
-----
Print size ( X Y Z ): 270*200*680mm
Print Speed: 200 mm/sec
Layer Resolution: 25 microns
Nozzle Diameter: 0.4 mm
Filament Compatibility  : PLA, Nylon, Flexible, HIPS, PVA, Wood, Stone
-----
No.of Extruders: One
-----
3D Printing Software: Creator K
Supported File Formats: STL, Gcode, OBJ
Operating System: Windows/Mac/
-----
Power Requirements: 24v, 50A
-----
